review,rating
"aplilasi busuk...gaya nya aja voucher nya di banyak2in,, giliran di buat C.O di btlkn otomatis, hrsnya kalau g niat kasih vocer gak usah di tampilin dong voucherny. tlk",1
Shopee yang terbaik,5
bagus harga nya murah kualitas nya bagus bagus.,5
shopee terasa menyenangkan karena dirimu,5
menawarkan barang dan produk yg bagus,5
ok,5
Mantap,5
sopi memang mantul👍👍👍💪🙏,5
belanja jadi mudah,4
top,5
"Masalah buka aplikasi langsung putar otomatis live & video tidak teratasi, sudah ikuti petunjuk sampai bersihkan cache, hasilnya masih nihil. cukup meganggu saat buka aplikasi tengah malam",1
puas banget sebagai pelanggan shopee,5
Bagus,4
mantap.. Murah..,5
pengirman sngat lelet,2
"dikit dikit pas pakai voucher gratis ongkir ada aja alesannya ""voucher ini sudah terpakai jika anda lanjutkan menggunakan voucher itu maka akun anda bisa keblokir"" hadeh pdhl sebelumnya gk cek out apa apa giliran voucher dipakai malah kek gitu tolong dong diperbaiki lagi",1
sangat bagus dan membantu terimakasih shopee,5
"Moga bisa lebih murah diongkos kirim maupun ongkos lain2 ,spy penjual lebih semangat,akhir ini apk shope loading nya jd berat",5
"shopee memang mantap,,,",5
jadi penulong di waktu ke pepet,5
terbaik👍💯👍💯👍💯👍💯,5
mudah belanjanya,5
"Puas,,,ngak berhenti rasa nya belanja di shopee,apalagi pakai spaylater",5
pelayanan nya sdh baik,5
mantappppppp,5
"Tlng donk, tampilan bukaan pertama aplikasi shopee jangan langsung ke shopee video, bikin nge-hang kadang², sampe² aplikasinya sudah ditutup pun suara dr shopee videonya masih keputer berulang²",4
sangat membantu untuk belanja online,5
"saya suka karna walau belanja dikit tetap gratis ongkir,cuma mb aja yang gede jadi kadang lemot dikit",5
baik,5
Cukup baik sekarang dan sangat mudah ber belanja online di shopee,4
ok,5
selama ini baikk,5
suka saja,5
Nice App,5
"Shopee membuat hidup semakin mudah, mau apapun tinggal buka shopee.... apalagi kalau dapet gratis ongkir ...",5
sukakkk,5
menurut aku GK pernh kecewa belnja di shope semua tergantung bajed kita semampu nya seberapa.. ongkir juga sesuai jarak tempuhnya,5
tepat waktu,5
shopee mematikan rejeki saya saya seorang seller selalu kirim paket pakai ekspedisi J&T express karna paling dekat dri rumah. Semenjak J&T express dihapus dri shopee saya tidak dapat orderan . Ekspedisi yg paling dekat dri rumah hanya J&T selain itu jaraknya sangat jauh dan butuh menempuh waktu 1/2 jam lebih. Tolong pihak shopee kembalikan ekspedisi J&T agar saya bisa berjualan lagi!!!!,1
sangat puas,5
Apk ini mantep the best pokoknya makasih developer semangat terus 😊🤗,5
ok,5
semoga shopee bisa lebih mengutamakan pelanggan agar dilayani dgn cepat,5
ok,5
"kwalitas brg sesuai harga,pengiriman,kurir baik..puas aku ...",5
"sering update, makin banyak bug",1
Shopee 👍 tetap jaga,5
good,5
Ok.,4
bagus,5
suka,5
"pelayanan refund barang buruk ,beli hape di sini dikirm bata giliran di kembalikan ga hina padahal udah xa video unboxing",2
memudah kan hidup,5
shopee selalu dihati.the best,5
Mntep joss,5
sangatlah bermanfaat,5
sangat puas berbelanja di sope ongkirx murah barang sesuai dan sering dapat diskon,5
"aplikasi shoope yg bermanfaat banget,, harganyapun agak miring di bandingkan yg lain,, semoga shoope sukses selalu...🤲🤲🤲",5
goood job,5
kenapa AQ g bisa cek.ot.tolong bantuwan nya kakak,5
"kecewa aku sama shopee, isi saldo kartu tol BRIZZI, seharian gak ada masuk. di minta pengembalian dana, prosesnya lama banget. sedangkan saldo dikartu mau cepat dipakai. sudah buat laporan, tapi terlalu lambat respon nya. sudah seperti di birokrasi saja, bertele tele.",1
puas bangeet..nyaman Dan aman. walaupun sering tidak sesuai pesanan saya tidak menyalahkan shopee.karna saya tau itu bukan kesalahan dari shopee tapi kesalahan toko yang saya pesan barang,5
"aplikasi belanja online yang sangat bagus, mudah di gunakan dan di pahami.",5
"teruntuk shopee kembalikan jasa kirim j&t plis. jasa kirim sekarang spx express kurirnya tidak mau mengantar paket cod sampai rumah, harus jemput dengan perjalanan 10 menit:( klau uda d perbaiki ksih bintang 5.",2
Jadi lebih mudah,5
memuaskan blnja dgn shopee,5
knpa ya lemot,5
"belanja di sopee: saya puas,karena barang sesuai pesanan, barang datang tepat waktu. harganya murah, banyak discon.pesan saya: lebih diperbanyak gratis ongkir, dan pembayaran melalui COD,",4
"oke sih untuk Shopee sekarang, pertahankan sistem Pengembalian barang ( Berubah pikiran ) jangan di ubah² sistemnya, dan di perbaiki juga Customers Service bagian Via Telepon agar lebih sopan dan lebih sabar mengatasi masalah jangan mudah emosi. Selebihnya sudah mantep",5
sangat baik good,5
Apk makin kesini makin berat kok tiba2 barusan gak bisa Checkout muter terus padahal jaringan bagus ! tolong dibenerin lah !!!!,2
Shopie baguss banyak gratis ongkir nya okeeerr,5
senang banget sangat mempermudah untuk melakukan belnja,5
lumayan sulit di pahami agak ribet aplikasinya.,2
"Awalnya sy kasi bintang 5 tp sekarang mohon maaf sy kasi bintang 3. Berdasarkan pengalaman belanja sy dalam hal pengiriman, mengapa jika belanja dgn pembayaran COD cepat sampainya tp jika belanja dgn pembayaran transfer sampainya bisa lebih dari 1 minggu. Tolong diperbaiki dalam hal pengiriman barangnya. Terima kasih",5
ok.......................,4
💯👍,5
bagus bgt mura² gratissss ongkir,5
good,5
sangat bermanfaat,5
"Shopee Video sangat mengganggu, ketika membuka aplikasi langsung ditujukan ke Shopee video bukan ke Home lagi, ini membuat aplikasi menjadi berat bahkan ketika mengklik produk dan ada tampilan live nya ini membuat layar ngefreeze. Padahal smartphone saya cukup bagus spesifikasinya.",3
bagus,5
👍👍👍,5
tolong berikan gratis ongkir,5
josss,5
mantap 👍✌️😊,5
klo bisa ongkir nya jngn pake vocer2 atau koin.... biar mantap,4
"Berbelanja di shopee semakin percaya,karena produk² dari shopee sesuai ekspektasi, harganya juga murah² tapi kualitas gak murahan, sukses selalu buat aplikasi shopee",5
dengan adanya aplikasi ini..menghemat waktu mencari barang..dapat kuallitas dan harga baik.,5
susah banget untuk masuk padahal jaringan bagus kenapa sihh shopeeeee tolong perbaiki,1
Shopee paling oke mantap betul👍👍👍,5
saya suka shopee karena harga nya murah murah dan penjualnya baik baik ❤️💙💖,5
sesuai pesanan,4
good,5
"Sangat memuaskan bertransaksi disini dengan potongan ongkir yg cukup membantu, Tolong di aktifkan lagi expedisi J&T.",5
bagus,5
mantapz,5
suka bgtt banyak diskon dan voucher,5
sangat berguna banyak manfaatnya,5
sangat membantu,5
shopee..belanja online yg serba ada dan mudah dan cepat serta berkualitas.,5
shopee is the best gak pernah kecewa belanja d sini,4
bagus jadi gampang beli apapun di shopee,5
shopee ok,4
bagus dekali,5
"lambang saya sudah 3 HR ajukan sarat affiliate memasukan NPWP smpe sekarang belum ACC, shopee lemah lambat",1
yg terbaik,5
"kenapa ya saldo shopee pay saya gak bisa dipakai? padahal masih ada uangnya walaupun cuman 11.000. Padahal barang yang di beli dibawah 10.000, itu ada apa ya min? bikin kalau mau top up lagi tuh jadi malas",3
Shopie sukses selalu dan lancar biar cod trus,5
sangat cocok,5
semoga tetap jaya shopee,5
Mantap,5
puas dgn pelayanan shopee,5
Good,5
apapun kebutuhanmu pasti ada di Shoppe,5
good,5
Suka dan memudahkan...,5
shopee home me terpercaya dan g ngecewain.adapun klo barang yg kita beli melalui shopee ngecewain itu bukan salah shopee tapi salah penjual. biar lebih aseeek lebih selektif klo nerima penjual.okay bravo shopee,5
puas dengan aplikasi ini,5
sangat puas,5
"cukup baik..ttp saya pernah pasan barang tp pihak kurir tidak tlp pas kami sedang keluar,,malah barang sdh datang tiba di cancel dan di kembalikan... kurangnya sop .",4
banyak gratis ongkir,5
dengan shopee apapun lebih mudah dan gampang dalam mencari product yg di inginkan,5
toko online terbaik di indoesia,5
bagus,4
"pengantaranny selalu tepat waktu terima kasih atas pelayananny,👌👌👍",5
bagussss,5
Untuk sekarang pelayanan sangat buruk banyak yang bikin kecewa,1
mantap,5
nice,5
"lumayan murah ,",5
aplikasi enak buat belanja pokoknya jooos,5
enak belanja disini .. sayang nya .. sempat jadi pendukung musuh Islam,5
"kenapa shopee saya mengalami susah jaringan, sedangkan sinyal dan wifi saya bagus",5
setiap saya belanja misi di shopee meter tidak pernah bertambah tolong diperbaiki lagi🙏🏻🙏🏻,1
eror trus,1
Good Ok...,5
"tolong admin seger di tangani akun lamaku aku hapus, aku sudah bikin aku lagi yang baru sekarang mau update shopee pay plus nya GK bisa gara2 masih terdaftar di akun lama saya, splaternya GK aktif GK P2 aku cuman butuh update shopee pay plus nya aja terimakasih",5
Belanja tanpa ribet,5
mayan,5
"nyusahin penjual, lebih memihak pembeli, sering error, CS tidak bisa menyelesaikan masalah, tidak. menjelaskan penyebab masalah, potongan penghasilan terlalu banyak, waktu pencairan uang hasil jualan TERLALU LAMA. tidak ada fitur blokir akun lain yang mengganggu. penjual rawan ditipu oleh pembeli",1
aku suka dengan shopee soalnya barangnya itu murah-murah dan kualitasnya bagus,5
senang berlangganan dengan shopee sangat memuaskan,5
banyak gratis ongkir penjual nya amanah amanah,5
trimksh shopee,5
𝙗𝙣𝙧 𝙗𝙣𝙧 𝙨𝙣𝙜𝙩 𝙧𝙚𝙠𝙚𝙢𝙤𝙣𝙙𝙨𝙞𝙡𝙖𝙝 𝙥𝙠𝙤𝙣𝙮𝙖𝙢𝙖𝙝...,5
sangat menbantu,5
ok,5
aplikasinya sangat memuaskan.,5
alhamdulillah barang yg ntampe sesui pesan pesanan dn vidio iklan nya,5
ok,5
mudah dalam mencari barang kebutuhan,5
shopee pokonya top deh bnyak pruduk² berkualitas harganya berani di adu,5
sangat membantu untuk mencari produk yg di sukai,5
selama belanja di soppy alhamdulilah belum pernah kecewa 👍,5
kasih diskon lebih lgi,5
"pelayanan, promo menarik, pertahankan",5
cukup puas,5
mantap,5
bagus,5
keren,5
puas belanja d shopee,5
saya kasih bintang 5 tp tolong ya min untuk pelepasan dana dari pembeli ke penjual KLO bisa berjangka 2 hari/dipercepat,5
sangat bgus dlm pelyanannya cepat tanggap,5
shopee semudah membalikan telapak tangan,5
sangat puas dengan aplikasi shoppee.walopun saya hanya menggunakan layanan Spinjam saja itupun pinjam 750rb.saya atas nama Nurul atikah Sangat merasa diistimewakan karena pihak shoppee selalu memberi kemudahan dan kenyamanan penggunanya.layak mendapat bintang lima sebagai aplikasi terbaik yg wajib di download di hp kmu.,5
"cepat respon, pengiriman yg gak lama",5
agak kecewa terhadap peraturan baru tgl 22.kena biaya potongan banyak,2
mantap,5
aplikasi palugada dan sangat membantu,5
Saya merasa ternodai setelah shopee bergerak gerak di hati saya,5
bagus,5
untuk retur mohon di tingkatkan lagi,5
sangat bagus,5
terimakasih,5
good,5
Bermanfaat,5
bisa ngutang bos,5
gar gara ekspedisi spx lama 🤣,1
Baik dan Bagus.👍✨👉⭐⭐⭐⭐⭐,5
sampainya lebih cepat,5
senang dengan aplikasi shopee semoga makin jaya,5
aku sangat senang belanja di shopee.pengalamanku pertama kali belanja di shopee hanya kecewa 2 kali.pesen baju anak usia 4 tahun ukuran L kok besar banget dan yg kedua pesen baju loreng buat anak usia 4 tahun ukuran M kok kekecilan,5
aplikasi yang sangat baik dan membantu,5
selalu dihati,5
Servicenya memuaskan,5
keren,5
kasian driver shopefood nya jadi sepi ordran noh.. pikirin drivernya jngn cari untung aja.. yg duduk d depan meja kantor... pikirin yg d jalan kasihan punya anak sama bini..,1
I love you,5
Berfungsi sangat Baik,5
jasa pengiriman yang buruk,4
bagus,3
harga barang terjangkau,5
"barang barang shopee bagus, pengiriman lebih cepat lebih baik",5
aplikasi anjiang,1
pokonya dengan adanya shopee sangat membantu sekali dalam hal berbelanja,5
sangat membantu aku suka shopee,5
harga bersaing dengan lapak penjual yang lain. murah.mudah dan mamfaat..,5
update bru nyusahin sopepay mesti pke verifikasi wajh aduh ribet .memng amn sh tp kan harusny ad pilihan buat mke atw ngga perlu sya akun lma khapus akun bru pke wajh istri jd nyantol saldo sya..krn istri sya merantau kluar kota,1
"aplikasi shoppe belanja jadi lebih mudah. ini jadi pertanyaan saya,kenapa kalaw sya buka aplikasi sophee langsu live vidio?....apakah pengguna sophe yg lain nya juga sama?...",5
dengan shopee belanja terasa lebih mudah,5
Saya suka berbelanja di shopee krn pengiriman cepat dan tepat dan byk pilihan,5
Terbaik dibelanja online,5
oke.....,5
𝐛𝐚𝐠𝐮𝐬,5
bgs bermanfaat,5
mantap,5
"mau beli apa pun mudah tinggal pilih langsung klik, sangat gampang.",5
Shopee bagus banget belanja dari rumah barang sesuai pesanan,5
mantap,5
"tolong untuk verifikasi jangan hanya wajah dong, tambah metode lainnya, soalnya yg punya akun gak di rumah",1
ok siip,5
pokoknya terbaik,5
sangat amanah baik sesuai yang di pesan jg,5
mantap bisa belanja dri rmh tanpa ribet,5
"semasih amanah dalam penjualan kami ok tetapi kalo tidak amanah,berati yg menjatuhkan perusahaan itu sendiri...👌👍",5
semoga shopee dan jnt bisa bareng lgi,5
bagus,4
Shopee aman untuk tempat belanja dan proses cepat,5
Belanja disini memang mantap,5
baik bngettt,5
"Sebagai seller, saya ga ngerti sama regulasi yang dibuat shopee. penjual dipaksa hrus segera mengirmkan pesanan kurun waktu 1x24 jam, OKe , ga masalah kita lakukan, tapi apa balasan dr shopee, PELEPASAN DANA yang tidak masuk kriteria dana cepat, itu bisa 1 minggu setelah pesanan selesai baru bisa cair. HELLO, ANDA LUPA YANG NAMANYA SELLER ITU BUTUH MODAL BUAT DIPUTAR, GMN BISA BERTAHAN JUALAN, KLO SAJA PELEPASAN DANA SAJA MENUNGGU 1 MINGGU KEMUDIAN SETELAH PESANAN SELESAI !!. KALAH SM TOKO IJO",1
barang salah terus,1
sangat membantu,5
sangat membantu kebutuhan,5
Sangat puas,5
Kurirnya kek mlz ngehub nomer yg tertera.....,1
"shopee lagi eror kah? kenapa shopee saya ga bisa dibuka, udah seminggu kayak gini terus, udh dihapus dan download lagi tapi tetap gitu terus",2
Ok...👍👍👍,5
gak banget semenjak habis lebaran gak bisa cod,2
perlu perbaikan sistem pengirimannya. yg kali ini lama sekali sampai 4hari. biasanya 2hari sejak order pesanannya sudah datang. saya melihat ekspedisinya ribet. sudah benar ada di Depok tapi di kirim ke Bogor untuk di sortir lagi lalu di kirim kembali ke Depok. ke depannya mohon ecpedisinya di perhatikan.,4
"shopee memang the best,👍👍👍👍👍🌟🌟🌟🌟🌟",5
pelayanan cepat d@n memuaskan,5
shopee sebenarnya bagus banget tapi sayang hanya karena ulah kurir yg tidak bertanggung jawab saya jadi kecewa karena tdk bisa cod pada hal alamat saya cocok aja dari dulu alamat saya itu yg saya pakai.,3
Ok,5
shopee bagus sekali aku suka belanja di shopee 🥰🩷,5
Membantu,5
bagusss,5
selalu tepat & cepat ... lov u shope,5
membantu,5
sangat bagus,5
barang dan harganya sangat memuaskan buat saya,5
bagus,5
sangt membantu saat gratis ongkir suon,5
shopee konnntl,1
Aplikasinya bagus 👍,5
Q suka sopi karna sangat membantu,5
mantuuuul,5
Belanja di shopee menyenangkan 👍,5
sesuai pesan an semua barang yg d terima,5
senang belanja di shopee sangat memuaskan,5
good,5
TOP BGET lebih banyakin gratis ongkirnya,5
"Memang Shopee👍 pelayanannya sangat cepat, sesuai estimasinya & sangat membantu kebutuhan saya. Shopee memang keren...",5
"tidak bisa masuk akun saya, sudah memasukkan password tp lupa.. lupa password, lupa dengan alamat email juga.. tolong dibantu kak admin shoppe.. terima kasih",5
bagus,5
terimakasih shopee yg selalu memberi pelayanan yg terbaik untuk konsumen👍👍👍🤝🙏,5
layanan yang bagus sesuai dengan keinginan konsumen dipertahankan dan lebih baik,5
"tolong kembalikan j&t :( dipaksa banget pake shopee expres . padal shopee expres tuuh terlalu banyak titik pemberhentiannya :( dan sekali berhenti lamaaaaa bangettt diterusin ke titik berikutnyaa :( bisa seharian gak gerak , stuck di tempat 😭😭😭",3
bagus,5
"mau daftar spinjam padahal udah pake akun baru dan nomor yang masih baru tapi kenapa kalo saat daftar spaylater/spinjam tiba-tiba dihubungin sama nomor saya yang lama dan beda akun, mana nomor lama sudah hilang alhasil sampe sekarang mau daftar ga pernah bisa",3
Sering ngeleg dan keluar sendri. kualitas semakin buruk dan pelayanan jg kadang gx memuaskan 😌. tolong di tingkat kn lg.,4
murah dan terjangkau,5
"Belanja di sini sangat seru,dan pengirim nya semua baik",5
aku suka,5
sangat hebat dan keren,5
keren buat shopee jangan lupa thr nya,5
bagus membantu orang jual beli barang,5
"VIP SHOPEE Mantap,murah,cepat,sangat memuaskan.",5
pokoke ok,5
sering kasih gratis ongkir....terimakasih ya shoppe....membantu usahaku😁🙏,5
bagus banget pula Shopee sekarang,5
bagus,5
update nya lemot. dan lama sekali,3
sangat bagusss,5
barang sesuai pesanan,5
oke.. kurir sat set,5
Saya puas karena tepat waktu,5
😁👍,5
sangat 👍🏻👍🏻👍🏻👍🏻👍🏻,5
Shopee is the best,5
terimaksih sdh menyediakan berbagai kebutuhan... dengan beberapa pilihan pembayaran...,5
"bagus, pertahankan yah.. ada loker gak min?",5
banyak akses apapaun,5
pengirimannya cepat kurirnya ramah harga terjangkaw,5
shopee tempat belanja yg nyaman dan terpercaya..,2
shopee aplikasi tempat belanja onlin terbaik,5
"selalu terpercaya, kerenn abis",5
semoga bertambah sukses terus selamnya shopee bnyk pelangannyadan amanah JNgn megecewakn pembelinya 🙏,5
"Selama ini pengirimannya tepat waktu, pertahankan dan usaha untuk ditingkatkan. Sukses selalu Shopee",5
untuk shopee bagus tapi kadang-kadang jengkel juga dengan kulir,5
pengiriman sekarang yg dulu paling lama 10 hari sekarang bahkan sampai dua Minggu,1
mudah gampang cepat,5
"kalau masalah pembelian sih 100% bagus,tapi kenapa sih setiap 1 atau beberapa hari tidak masuk aplikasi shopee ,aplikasinya perlu di update dulu supaya bisa di pake pagi",4
aplikasi yang sangat bagus 👍🏻😊,5
ok,5
makasih shopee,5
harusnya harga lebih murah dari akun lain...,5
aplikasinya bagus banget,5
Banyak Barang Brandit,5
bagus,5
"menarik,saya menyukainya",5
penjualnya sangat ramah dan juga kurirnya ramah 👍👍👍👍👍👍,5
ya bagus banget ya tapi gak datang datang 😭😭😭,2
MANTUL,5
bagus,5
sangat membantu trimkasih,5
ok,5
saya suka dengan gratis ongkirnya dan seler²nya yang saya temui amanah semua,5
"kacau"" pengiriman pake spx sangat"" lelet, exspedisi paling lelet.",1
barangnya bagus bagus,5
semoga semakin bertambah baik dan amanah........,5
amanah sih sampai HR ini nggk kecewa,5
Nyaman belanja di shopee tidak ribet banyak diskon,5
sehat selalu bg btw ada seratis ongkirr gak tiap hari ya,5
ok,3
suka,5
Bagus aku sukaaaa,5
"KURIR TIDAK AMANAH!!! PAKET SAYA TIDAK DIANTAR TAPI KETERANGANNYA DITOLAK, PADAHAL SAYA TIDAK PERNAH MENOLAK. SAAT MELAPOR KE CS TIDAK PERNAH DITANGGAPI DAN KONTAK KURIR TIDAK DIBERIKAN SEHINGGA MEMPERSULIT KOMUNIKASI",1
bagus,5
Shopee makin gak jelas! Pengiriman terpilih secara otomatis yang bikin jadi makin ngeselin mana JnT gak sama Shopee lagi makin gak enak pake Shopee apalagi spx gak jelas paket udah deket malah balik lagi ke rute nya gak jelas bangettt GAK USAH PAKE SHOPEE LAGI GUYSS!!! PINDAH APK HIJAU ATAU HITAM AJA promonya pun udah gak sebanyak dulu,1
aplikasi belanja yg sangat baguss,5
cukup,4
sangat bagus,5
shopee mantapp,5
"paket saya berisi makhluk hidup pesanan dalam proses pengantaran dari jam 08:05 sampai 18:30 blum datang,",1
"padahal paket sudah lunas. tapi sama kurir masih juga diminta ongkir. padahal sudah jelas barang dn ongkir semua sudah terkunaskan. giliran gak mau bayar, malah barangnya tidak dikirim, lalu nomor saya di blokir😡😡😡 harga barangnya 1jt woy. 😡😡 sangat kecewa",1
sekarang sudah lebih cepat akses dan loading nya...karena saya sudah ganti ponsel,5
mantap,5
mantaaappppp,5
pelayanan nya extra cepat mantep pokonya,5
cepat dan aman,5
ok,5
is the best,5
bagus,5
belanja lebih hemat,5
sangat senang belanja di toko ok ini,5
mantaf,5
shopee makin keren siiiihhh...,5
owkey aja,5
ada segalanya,5
ramah cepat tepat,5
bagus.. sangat rekomendasi untuk pemakaian apl ini,5
tempat belanja murah meriah ☺️☺️☺️☺️☺️🥰🥰🥰🥰🥰🥰😘😘😘😘😘😘,5
☹️,5
"semenjak ekspedisi jnt tidak ada di shoope jadi males belanja, mau beralih ke aplikasi lain aja yg ada ekpedisi jnt. males apalagi klo kena ekspedisi spx bener2 lelet gak jelas 😭 pengiriman jnt paling cepat, kembalikan jnt 😭 jadi terasa kehilangan 😭.",1
Terimakasih ya Bosq Cukup Puas dg adanya Aplikasi Shopi GK perlu lagi repot2 ketoko beli barang yg diperlukan Semua ada di Shopi👍😁,5
